run_dir,algo,env,ep,gap,maxgap,N,gamma,eval_ep,IDM,ACTOR,done,subgoal,critic,tasks_idm,tasks_actor
20260521_052303_seed0_cube-double-play-v0,DQC,cube-double-play-v0,500,1,0,1,0.99,500,0.52,0.30,1,diag_gaussian,dqc,"0.94,0.36,0.56,0.24,0.50","0.88,0.16,0.22,0.10,0.14"
20260521_081127_seed0_cube-double-play-v0,DQC,cube-double-play-v0,500,1,0,1,0.99,500,0.46,0.40,1,diag_gaussian,dqc,"0.96,0.32,0.44,0.18,0.40","0.90,0.26,0.46,0.20,0.16"
20260521_105949_seed0_cube-double-play-v0,DQC,cube-double-play-v0,500,1,0,1,0.99,500,0.46,0.36,1,diag_gaussian,dqc,"0.88,0.28,0.54,0.24,0.34","0.88,0.24,0.32,0.14,0.24"
20260521_134814_seed0_cube-double-play-v0,DQC,cube-double-play-v0,500,5,0,1,0.99,500,0.83,0.72,1,diag_gaussian,dqc,"1.00,0.98,1.00,0.40,0.76","1.00,0.84,0.72,0.44,0.60"
20260521_163245_seed0_cube-double-play-v0,DQC,cube-double-play-v0,500,5,0,1,0.99,500,0.78,0.72,1,diag_gaussian,dqc,"1.00,0.96,0.96,0.24,0.74","0.96,0.90,0.96,0.26,0.54"
20260521_191815_seed0_cube-double-play-v0,DQC,cube-double-play-v0,500,5,0,1,0.99,500,0.76,0.59,1,diag_gaussian,dqc,"1.00,1.00,0.98,0.26,0.58","1.00,0.74,0.60,0.34,0.28"
20260521_220438_seed0_cube-double-play-v0,DQC,cube-double-play-v0,500,5,0,1,0.99,500,0.80,0.66,1,diag_gaussian,dqc,"1.00,0.96,0.98,0.28,0.76","1.00,0.72,0.76,0.34,0.46"
20260522_005103_seed0_cube-double-play-v0,DQC,cube-double-play-v0,500,10,0,1,0.99,500,0.27,0.16,1,diag_gaussian,dqc,"0.92,0.26,0.08,0.02,0.08","0.58,0.14,0.04,0.00,0.02"
20260522_034001_seed0_cube-double-play-v0,DQC,cube-double-play-v0,500,10,0,1,0.99,500,0.40,0.20,1,diag_gaussian,dqc,"0.92,0.32,0.42,0.10,0.22","0.80,0.12,0.04,0.02,0.04"
20260522_062856_seed0_cube-double-play-v0,DQC,cube-double-play-v0,500,10,0,1,0.99,500,0.77,0.47,1,diag_gaussian,dqc,"1.00,0.86,0.86,0.42,0.70","0.96,0.48,0.58,0.06,0.28"
