run_dir,run_group,env,gap,maxgap,train_n,epoch,eval_n,IDM,ACTOR,idm_tasks,actor_tasks,timestamp
20260616_225854_seed0_puzzle-3x3-play-v0,flow_trl_feval_p3_g10_w5_n1,puzzle-3x3-play-v0,10.0,5.0,1,600,1,0.048,0.048,"1:0.2400,2:0.0000,3:0.0000,4:0.0000,5:0.0000","1:0.2400,2:0.0000,3:0.0000,4:0.0000,5:0.0000",2026-06-16T22:53:29Z
20260616_225854_seed0_puzzle-3x3-play-v0,flow_trl_feval_p3_g10_w5_n1,puzzle-3x3-play-v0,10.0,5.0,1,600,16,0.512,0.304,"1:0.9600,2:0.4400,3:0.5200,4:0.2000,5:0.4400","1:0.4400,2:0.2800,3:0.4000,4:0.1600,5:0.2400",2026-06-16T23:13:08Z
20260616_225854_seed0_puzzle-3x3-play-v0,flow_trl_feval_p3_g10_w5_n1,puzzle-3x3-play-v0,10.0,5.0,1,600,2,0.096,0.11200000000000002,"1:0.4000,2:0.0800,3:0.0000,4:0.0000,5:0.0000","1:0.4000,2:0.0000,3:0.0000,4:0.1200,5:0.0400",2026-06-16T22:59:01Z
20260616_225854_seed0_puzzle-3x3-play-v0,flow_trl_feval_p3_g10_w5_n1,puzzle-3x3-play-v0,10.0,5.0,1,600,4,0.32799999999999996,0.24800000000000005,"1:0.8000,2:0.3600,3:0.1600,4:0.1200,5:0.2000","1:0.6400,2:0.2800,3:0.1600,4:0.0400,5:0.1200",2026-06-16T23:03:55Z
20260616_225854_seed0_puzzle-3x3-play-v0,flow_trl_feval_p3_g10_w5_n1,puzzle-3x3-play-v0,10.0,5.0,1,600,8,0.504,0.304,"1:0.8400,2:0.6400,3:0.4800,4:0.2000,5:0.3600","1:0.6400,2:0.3200,3:0.1600,4:0.2800,5:0.1200",2026-06-16T23:08:31Z
20260617_010812_seed0_puzzle-4x4-play-v0,flow_trl_feval_p4_g1_w5_n1,puzzle-4x4-play-v0,1.0,5.0,1,600,1,0.008,0.0,"1:0.0000,2:0.0000,3:0.0000,4:0.0400,5:0.0000","1:0.0000,2:0.0000,3:0.0000,4:0.0000,5:0.0000",2026-06-16T23:19:38Z
20260617_010812_seed0_puzzle-4x4-play-v0,flow_trl_feval_p4_g1_w5_n1,puzzle-4x4-play-v0,1.0,5.0,1,600,16,0.768,0.768,"1:0.8800,2:0.8400,3:0.6400,4:0.6800,5:0.8000","1:0.8400,2:0.6400,3:0.8000,4:0.8800,5:0.6800",2026-06-16T23:40:52Z
20260617_010812_seed0_puzzle-4x4-play-v0,flow_trl_feval_p4_g1_w5_n1,puzzle-4x4-play-v0,1.0,5.0,1,600,2,0.048,0.04,"1:0.0800,2:0.0000,3:0.0400,4:0.0400,5:0.0800","1:0.0400,2:0.0400,3:0.0000,4:0.0000,5:0.1200",2026-06-16T23:26:10Z
20260617_010812_seed0_puzzle-4x4-play-v0,flow_trl_feval_p4_g1_w5_n1,puzzle-4x4-play-v0,1.0,5.0,1,600,4,0.21600000000000003,0.4,"1:0.2400,2:0.2800,3:0.1200,4:0.2000,5:0.2400","1:0.4000,2:0.4800,3:0.2800,4:0.4800,5:0.3600",2026-06-16T23:31:59Z
20260617_010812_seed0_puzzle-4x4-play-v0,flow_trl_feval_p4_g1_w5_n1,puzzle-4x4-play-v0,1.0,5.0,1,600,8,0.712,0.6880000000000001,"1:0.7600,2:0.7600,3:0.5600,4:0.7600,5:0.7200","1:0.8000,2:0.6400,3:0.5600,4:0.6800,5:0.7600",2026-06-16T23:36:39Z
20260617_032503_seed0_puzzle-4x4-play-v0,flow_trl_feval_p4_g3_w5_n1,puzzle-4x4-play-v0,3.0,5.0,1,600,1,0.008,0.008,"1:0.0000,2:0.0400,3:0.0000,4:0.0000,5:0.0000","1:0.0000,2:0.0000,3:0.0000,4:0.0000,5:0.0400",2026-06-16T23:47:24Z
20260617_032503_seed0_puzzle-4x4-play-v0,flow_trl_feval_p4_g3_w5_n1,puzzle-4x4-play-v0,3.0,5.0,1,600,16,0.776,0.768,"1:1.0000,2:0.7600,3:0.8400,4:0.8400,5:0.4400","1:0.9200,2:0.6800,3:0.8000,4:0.6000,5:0.8400",2026-06-17T00:08:38Z
20260617_032503_seed0_puzzle-4x4-play-v0,flow_trl_feval_p4_g3_w5_n1,puzzle-4x4-play-v0,3.0,5.0,1,600,2,0.048,0.07200000000000001,"1:0.0800,2:0.0400,3:0.0000,4:0.1200,5:0.0000","1:0.2000,2:0.0800,3:0.0000,4:0.0000,5:0.0800",2026-06-16T23:53:51Z
20260617_032503_seed0_puzzle-4x4-play-v0,flow_trl_feval_p4_g3_w5_n1,puzzle-4x4-play-v0,3.0,5.0,1,600,4,0.312,0.296,"1:0.5600,2:0.2400,3:0.3600,4:0.2400,5:0.1600","1:0.4800,2:0.1600,3:0.2400,4:0.3200,5:0.2800",2026-06-16T23:59:38Z
20260617_032503_seed0_puzzle-4x4-play-v0,flow_trl_feval_p4_g3_w5_n1,puzzle-4x4-play-v0,3.0,5.0,1,600,8,0.592,0.6880000000000001,"1:0.8400,2:0.3600,3:0.5600,4:0.7200,5:0.4800","1:0.9200,2:0.6400,3:0.7600,4:0.6000,5:0.5200",2026-06-17T00:04:23Z
