config,env,env_label,gap,horizon,run_dir,idm_n4,idm_n8,idm_n16,idm_n32,actor_n4,actor_n8,actor_n16,actor_n32,best_idm_n,best_idm,best_actor_n,best_actor
p3_k40_g1_w5_n1_en32,puzzle-3x3-play-v0,puzzle_3x3,1.0,40,runs/20260622_095129_seed0_puzzle-3x3-play-v0,0.13599999999999998,0.296,0.48,0.504,0.136,0.128,0.192,0.23199999999999998,32,0.5040,32,0.2320
p4_k40_g5_w5_n1_en16,puzzle-4x4-play-v0,puzzle_4x4,5.0,40,runs/20260622_120803_seed0_puzzle-4x4-play-v0,0.21600000000000003,0.36,0.44799999999999995,0.488,0.088,0.184,0.2,0.23199999999999998,32,0.4880,32,0.2320
cs_k40_g10_w5_n1_en2,cube-single-play-v0,cube_single,10.0,40,runs/20260622_143231_seed0_cube-single-play-v0,0.784,0.792,0.7040000000000001,0.672,0.776,0.76,0.8160000000000001,0.776,8,0.7920,16,0.8160
cd_k40_g10_w5_n1_en8,cube-double-play-v0,cube_double,10.0,40,runs/20260622_162953_seed0_cube-double-play-v0,0.704,0.728,0.672,0.776,0.8240000000000001,0.776,0.752,0.752,32,0.7760,4,0.8240
ct_k40_g10_w5_n1_en8,cube-triple-play-v0,cube_triple,10.0,40,runs/20260622_183639_seed0_cube-triple-play-v0,0.592,0.576,0.6719999999999999,0.552,0.656,0.576,0.744,0.6239999999999999,16,0.6720,16,0.7440
amm_k40_g3_w5_n1_en8,antmaze-medium-navigate-v0,antmaze_medium,3.0,40,runs/20260622_233208_seed0_antmaze-medium-navigate-v0,0.8480000000000001,0.96,0.8720000000000001,0.9120000000000001,0.8720000000000001,0.8879999999999999,0.8879999999999999,0.8400000000000001,8,0.9600,8,0.8880
aml_k40_g10_w5_n1_en16,antmaze-large-navigate-v0,antmaze_large,10.0,40,runs/20260623_014427_seed0_antmaze-large-navigate-v0,0.68,0.736,0.728,0.6479999999999999,0.736,0.696,0.728,0.656,8,0.7360,4,0.7360
amg_k40_g3_w5_n1_en8,antmaze-giant-navigate-v0,antmaze_giant,3.0,40,runs/20260623_035837_seed0_antmaze-giant-navigate-v0,0.10400000000000001,0.184,0.152,0.152,0.20800000000000002,0.296,0.24000000000000005,0.256,8,0.1840,8,0.2960
